,Units,People,NT dollars,合計,外資,投信,自營商
2016-04-30,646740,494755,3339348556,279214889.2631579,829259626.3157895,-286194733.2105263,-263850003.84210527
2016-05-31,647841,491540,3320066240,-2821003284.7619047,-3520436013.571429,85857791.09523809,613574937.7142857
2016-06-30,626222,482408,3220463290,2844556980.8095236,3911183048.952381,-111215819.57142857,-955410248.5714285
2016-07-31,620540,478237,3204103712,7919726672.75,8384259874.0,5621167.8,-470154369.05
2016-08-31,629334,479580,3270332585,2280605419.3913045,3088445355.869565,-252029141.39130434,-555810795.0869565
2016-09-30,621588,476494,3227641830,-804276331.3157895,130762286.89473684,-19214484.63157895,-915824133.5789474
2016-10-31,619047,473936,3180583198,45723800.55,-92955284.65,15279912.85,123399172.35
2016-11-30,615909,470553,3205094427,-3895269784.590909,-4372521006.818182,66994100.63636363,410257121.59090906
2016-12-31,606144,466241,3149472672,-145359176.1818182,88315510.95454545,4673.045454545455,-233679360.1818182
2017-01-31,472237,385447,2420542262,2766499166.6875,2874970824.5,189969936.875,-298441594.6875
2017-02-28,565380,443000,2877805785,2966671508.3333335,2738854135.111111,-115098749.16666667,342916122.3888889
2017-03-31,726704,465890,3656927171,2739526351.478261,3059061024.4347825,-148744848.6956522,-170789824.26086956
2017-04-30,583725,453960,2965809083,1559944435.7777777,1783470473.0,-294559292.6666667,71033255.44444445
2017-05-31,593932,453707,2982903791,2965743339.65,2490307425.8,51744486.6,423691427.25
2017-06-30,601945,456365,3089723244,2837243575.9444447,2216614907.111111,-339901245.9444444,960529914.7777778
2017-07-31,607463,459044,3161032277,-515311357.85714287,-249220713.76190478,-407636731.85714287,141546087.76190478
2017-08-31,622012,463680,3275836905,-672150403.2173913,-278190834.26086956,-60164843.91304348,-333794725.04347825
2017-09-30,630169,468700,3477431896,-3471398191.6363635,-2819610988.2727275,-248617553.22727272,-403169650.1363636
2017-10-31,643333,474808,3517669433,2987683379.0526314,2321730615.0526314,89677114.21052632,576275649.7894737
2017-11-30,663852,482157,3756481238,-2176204327.681818,-2157245782.409091,-200887323.5,181928778.22727272
2017-12-31,664380,484758,3731479251,-2315371678.904762,-1620378780.2380953,-17140175.285714287,-677852723.3809524
2018-01-31,653509,464369,3571179601,4165268439.681818,3442751454.2727275,-57556095.90909091,780073081.3181819
2018-02-28,597582,438511,3213725613,-8361756427.538462,-7641590192.230769,138384731.23076922,-858550966.5384616
2018-03-31,699979,470224,3886027072,-3127683532.2173915,-1953949134.652174,-222463931.6956522,-951270465.8695652
2018-04-30,641393,464583,3544159208,-3721933190.923077,-3038014211.5384617,172078991.46153846,-855997970.8461539
2018-05-31,667097,470240,3694437883,-3098131128.9411764,-2458393869.9411764,-136901327.52941176,-502835931.4705882
2018-06-30,665887,472933,3752700100,-4063801260.65,-4166541823.55,-3348024.65,106088587.55
2018-07-31,675458,475701,3737438784,532345340.72727275,371594277.8636364,218426217.3181818,-57675154.45454545
2018-08-31,669138,476427,3747091284,797275012.826087,1418691323.347826,401036318.6956522,-1022452629.2173913
2018-09-30,641850,470317,3487948652,3330530238.736842,3468643375.368421,-45986269.315789476,-92126867.31578948
2018-10-31,643532,463807,3496136298,-7404311330.727273,-6496380850.0,-350827064.77272725,-557103415.9545455
2018-11-30,605452,453258,3240037933,108600356.27272727,471595550.59090906,51609972.13636363,-414605166.45454544
2018-12-31,586490,444690,3109482688,-4040796979.142857,-3187553689.571429,-23687817.666666668,-829555471.9047619
2019-01-31,583881,445392,3047415147,2863635764.5238094,1759856800.8095238,112074591.61904761,991704372.0952381
2019-02-28,531850,416179,2751917598,5748197848.923077,4978684862.307693,-144619902.84615386,914132889.4615384
2019-03-31,628426,449411,3246070415,343777272.8,84229731.7,22487093.15,237060447.95
