,Units,People,NT dollars,融資(交易單位),融券(交易單位),融資金額(仟元),資券互抵,資券比
2016/4/30,646740,494755,3339348556,8876586.105,270521.8421,138442528.9,8606064.263,32.99939495
2016/5/31,647841,491540,3320066240,8586331.353,326988.4706,132159722.5,8259342.882,26.34876978
2016/6/30,626222,482408,3220463290,8542426.444,351227.3333,129805425.2,8191199.111,24.39636784
2016/7/31,620540,478237,3204103712,8547257.05,316965.55,130862027.2,8230291.5,27.05262606
2016/8/31,629334,479580,3270332585,8680371.348,399754.8261,134022997.9,8280616.522,21.84483093
2016/9/30,621588,476494,3227641830,8719691.824,429197.2353,134287910.8,8290494.588,20.35419908
2016/10/31,619047,473936,3180583198,8604793.882,443079,131427298.1,8161714.882,19.45135964
2016/11/30,615909,470553,3205094427,8376079,455186.7273,127037267.7,7920892.273,18.45534423
2016/12/31,606144,466241,3149472672,8664526.455,480417.2727,131300687.1,8184109.182,18.07583348
2017/1/31,472237,385447,2420542262,8566515.063,473935.5625,131275087.4,8092579.5,18.08218208
2017/2/28,565380,443000,2877805785,8742851.833,474001,135259704.4,8268850.833,18.46568799
2017/3/31,726704,465890,3656927171,8906686.13,402375.4348,142121310.8,8504310.696,22.50431808
2017/4/30,583725,453960,2965809083,8855129.722,245136.5556,143485952.2,8609993.167,37.54261764
2017/5/31,593932,453707,2982903791,8709013.45,374840.95,141862796,8334172.5,23.30819335
2017/6/30,601945,456365,3089723244,8640902.261,372204.2174,143361960.9,8268698.043,23.3124239
2017/7/31,607463,459044,3161032277,8664415.143,346989.5714,145936940.4,8317425.571,25.27707342
2017/8/31,622012,463680,3275836905,8696838.652,405663.3043,149327702.3,8291175.348,21.62440202
2017/9/30,630169,468700,3477431896,9063651.5,514315.0909,161810513.4,8549336.409,17.64197859
2017/10/31,643333,474808,3517669433,9076631.158,521313.5789,165620874.1,8555317.579,17.41440718
2017/11/30,663852,482157,3756481238,9200718.5,584791.5455,169309075.5,8615926.955,15.76563687
2017/12/31,664380,484758,3731479251,9458990.81,558647.7619,173123839.7,8900343.048,16.95165467
2018/1/31,653509,464369,3571179601,9509211.273,580466.7273,175196643.8,8928744.545,16.39793431
2018/2/28,597582,438511,3213725613,8916793.154,486041.4615,166822403.3,8430751.692,18.50356665
2018/3/31,699979,470224,3886027072,9040855.435,439476.913,169660777.4,8601378.522,21.26137999
2018/4/30,641393,464583,3544159208,9120342.083,276463,175426524.9,8843879.083,33.24624948
2018/5/31,667097,470240,3694437883,9154493.5,365490.4091,177768792.9,8789003.091,25.10853942
2018/6/30,665887,472933,3752700100,9375673.9,374634.3,188893698.8,9001039.6,25.17065078
2018/7/31,675458,475701,3737438784,9066825.545,329113.5909,184584120.1,8737711.955,27.63829141
2018/8/31,669138,476427,3747091284,8877768.043,379772,177732425.3,8497996.043,23.43963148
2018/9/30,641850,470317,3487948652,8471567.579,446446.1053,163735297.8,8025121.474,19.07740662
2018/10/31,643532,463807,3496136298,7630277.727,479119.7273,139585100.6,7151158,16.12885437
2018/11/30,605452,453258,3240037933,7240633.545,599509.5455,124826393.8,6641124,12.10133291
2018/12/31,586490,444690,3109482688,7411718.476,561507.5714,127887240.6,6850210.905,13.22894565
2019/1/31,583881,445392,3047415147,7186905.286,557471.1429,123704059.8,6629434.143,12.90420198
2019/2/28,531850,416179,2751917598,6988050.923,544512.2308,120514047.4,6443538.692,12.83996304
2019/3/31,628426,449411,3246070415,7206640.45,600662.75,126097789.6,6605977.7,12.01912644
