Date,WORLD Standard (Large+Mid Cap) 
"May 28, 2015","1,791.345"
"May 29, 2015","1,779.307"
"Jun 01, 2015","1,778.285"
"Jun 02, 2015","1,782.388"
"Jun 03, 2015","1,789.905"
"Jun 04, 2015","1,775.438"
"Jun 05, 2015","1,760.430"
"Jun 08, 2015","1,752.204"
"Jun 09, 2015","1,751.647"
"Jun 10, 2015","1,776.710"
"Jun 11, 2015","1,779.446"
"Jun 12, 2015","1,770.172"
"Jun 15, 2015","1,757.085"
"Jun 16, 2015","1,763.679"
"Jun 17, 2015","1,762.106"
"Jun 18, 2015","1,780.619"
"Jun 19, 2015","1,774.884"
"Jun 22, 2015","1,796.118"
"Jun 23, 2015","1,795.981"
"Jun 24, 2015","1,785.700"
"Jun 25, 2015","1,781.483"
"Jun 26, 2015","1,776.217"
"Jun 29, 2015","1,737.601"
"Jun 30, 2015","1,735.613"
"Jul 01, 2015","1,747.177"
"Jul 02, 2015","1,747.251"
"Jul 03, 2015","1,744.494"
"Jul 06, 2015","1,729.503"
"Jul 07, 2015","1,724.945"
"Jul 08, 2015","1,706.873"
"Jul 09, 2015","1,717.468"
"Jul 10, 2015","1,743.324"
"Jul 13, 2015","1,758.685"
"Jul 14, 2015","1,769.410"
"Jul 15, 2015","1,768.124"
"Jul 16, 2015","1,781.914"
"Jul 17, 2015","1,780.831"
"Jul 20, 2015","1,782.191"
"Jul 21, 2015","1,777.863"
"Jul 22, 2015","1,766.635"
"Jul 23, 2015","1,762.795"
"Jul 24, 2015","1,745.502"
"Jul 27, 2015","1,733.584"
"Jul 28, 2015","1,747.059"
"Jul 29, 2015","1,760.694"
"Jul 30, 2015","1,759.766"
"Jul 31, 2015","1,765.604"
"Aug 03, 2015","1,761.179"
"Aug 04, 2015","1,758.867"
"Aug 05, 2015","1,762.752"
"Aug 06, 2015","1,752.673"
"Aug 07, 2015","1,747.340"
"Aug 10, 2015","1,766.617"
"Aug 11, 2015","1,749.630"
"Aug 12, 2015","1,742.421"
"Aug 13, 2015","1,741.433"
"Aug 14, 2015","1,743.895"
"Aug 17, 2015","1,749.081"
"Aug 18, 2015","1,744.204"
"Aug 19, 2015","1,726.005"
"Aug 20, 2015","1,697.249"
"Aug 21, 2015","1,650.960"
"Aug 24, 2015","1,589.501"
"Aug 25, 2015","1,583.865"
"Aug 26, 2015","1,616.481"
"Aug 27, 2015","1,650.534"
"Aug 28, 2015","1,658.074"
"Aug 31, 2015","1,645.430"
"Sep 01, 2015","1,600.710"
"Sep 02, 2015","1,615.674"
"Sep 03, 2015","1,622.945"
"Sep 04, 2015","1,595.713"
"Sep 07, 2015","1,598.652"
"Sep 08, 2015","1,627.094"
"Sep 09, 2015","1,628.176"
"Sep 10, 2015","1,625.403"
"Sep 11, 2015","1,626.990"
"Sep 14, 2015","1,620.279"
"Sep 15, 2015","1,634.014"
"Sep 16, 2015","1,653.813"
"Sep 17, 2015","1,652.882"
"Sep 18, 2015","1,630.689"
"Sep 21, 2015","1,628.930"
"Sep 22, 2015","1,600.763"
"Sep 23, 2015","1,596.662"
"Sep 24, 2015","1,587.380"
"Sep 25, 2015","1,594.704"
"Sep 28, 2015","1,560.044"
"Sep 29, 2015","1,550.435"
