Date,合計,外資,投信,自營商
2004-04-30,-2240529286.4444447,-1196608096.3333333,-134825166.8888889,-909096023.2222222
2004-05-31,-3746957391.6190476,-3431782552.3809524,-178423594.66666666,-136751244.57142857
2004-06-30,-346822716.28571427,259964094.95238096,150409012.76190478,-757195824.0
2004-07-31,-923260507.8181819,-458050183.72727275,-161690466.13636363,-303519857.95454544
2004-08-31,3653839002.65,2874140383.2,722629021.65,57069597.8
2004-09-30,1974516917.3333333,1563099219.4761906,405399278.9047619,6018418.952380952
2004-10-31,2010747545.8,2349087166.05,-316474597.5,-21865022.75
2004-11-30,5371031001.636364,5204485887.181818,63626547.40909091,102918567.04545455
2004-12-31,1425428243.4782608,757032439.9565217,137130504.7826087,531265298.73913044
2005-01-31,-684559480.4,-457010531.3,-120275859.7,-107273089.4
2005-02-28,7172346992.9,8046449432.6,-911372916.6,37270476.9
2005-03-31,-1693077110.7826087,-1291966628.7391305,-409921096.26086956,8810614.217391305
2005-04-30,-1333949041.05,-1235454513.05,-28472397.2,-70022130.8
2005-05-31,5371586980.285714,6027252076.571428,-510913117.8095238,-144751978.47619048
2005-06-30,6147054600.5,5975886456.772727,-572687547.7727273,743855691.5
2005-07-31,-379056346.625,610891629.9375,-547561823.9375,-442386152.625
2005-08-31,-1266967140.8181818,-395599676.59090906,-615463966.7272727,-255903497.5
2005-09-30,-124313926.33333333,-506656484.52380955,659896411.0952381,-277553852.9047619
2005-10-31,-1974792205.65,-1541961861.6,-117101354.5,-315728989.55
2005-11-30,8042659256.590909,8167429584.590909,-408481431.95454544,283711103.95454544
2005-12-31,10532726088.90909,10849863261.454546,-999861261.0909091,682746237.8636364
2006-01-31,971995595.0555556,2103608191.2777777,-878995472.7777778,-252617123.44444445
2006-02-28,2851179168.352941,3884346128.2352943,-774034590.2352941,-259132369.6470588
2006-03-31,-791476232.173913,-306835731.9130435,-463587171.5217391,-21053328.739130434
2006-04-30,8951090420.210526,8953703486.263159,-622511506.1578947,619898440.1052631
2006-05-31,-2224773011.3809524,-1434229863.4761906,-7327522.761904762,-783215625.1428572
2006-06-30,-2327109087.5,-2102892366.9545455,166388070.13636363,-390604790.6818182
2006-07-31,-1256541674.7619047,-1375919721.6666667,-27798190.61904762,147176237.52380952
2006-08-31,3603750617.7391305,3199270537.9130435,68567832.13043478,335912247.6956522
2006-09-30,3762894591.428571,3750599804.7619047,-277252520.0,289547306.6666667
2006-10-31,2735645243.95,2904609755.4,-136713156.9,-32251354.55
2006-11-30,5622322535.954545,5152538724.136364,-300778.36363636365,470084590.1818182
2006-12-31,3662550310.3333335,3458226047.857143,60990256.666666664,143334005.80952382
2007-01-31,801861342.4545455,862731605.1818181,-5778312.590909091,-55091950.13636363
2007-02-28,3955355660.4166665,3172692540.3333335,618014392.5,164648727.58333334
2007-03-31,-4867395510.173913,-4390432528.130435,-420696831.34782606,-56266150.69565217
2007-04-30,3607854763.35,3907271137.6,-147151867.4,-152264506.85
2007-05-31,2620416032.5454545,1984655767.3181818,166294206.3181818,469466058.90909094
2007-06-30,9892903108.85,9258652039.7,689946494.15,-55695425.0
2007-07-31,2408468180.2272725,-420826670.04545456,2657721452.2272725,171573398.04545453
2007-08-31,-5741250691.130435,-7452740873.043478,1735791900.0434783,-24301718.13043478
2007-09-30,4118706393.357143,2607578997.571429,1323933787.857143,187193607.92857143
2007-10-31,1333298836.631579,857953482.8421053,320265792.3684211,155079561.42105263
2007-11-30,-7596132696.590909,-6792025480.772727,-250473111.0909091,-553634104.7272727
2007-12-31,310109306.8125,282601852.4375,121072042.8125,-93564588.4375
2008-01-31,-1663814423.8181818,-1564489704.090909,-203435367.72727272,104110648.0
2008-02-29,8501747543.142858,7022078996.142858,616777921.1428572,862890625.8571428
