Date,TWII
2016/4/1,8657.549805
2016/4/6,8513.299805
2016/4/7,8490.25
2016/4/8,8541.5
2016/4/11,8562.589844
2016/4/12,8531.179688
2016/4/13,8652.080078
2016/4/14,8667.709961
2016/4/15,8700.389648
2016/4/18,8666.009766
2016/4/19,8633.719727
2016/4/20,8514.480469
2016/4/21,8568.650391
2016/4/22,8535.75
2016/4/25,8560.280273
2016/4/26,8581.570313
2016/4/27,8563.049805
2016/4/28,8473.870117
2016/4/29,8377.900391
2016/5/3,8294.120117
2016/5/4,8185.470215
2016/5/5,8167.959961
2016/5/6,8146.430176
2016/5/9,8131.830078
2016/5/10,8156.290039
2016/5/11,8135.560059
2016/5/12,8108.049805
2016/5/13,8053.689941
2016/5/16,8067.600098
2016/5/17,8140.47998
2016/5/18,8159.680176
2016/5/19,8095.97998
2016/5/20,8131.259766
2016/5/23,8344.44043
2016/5/24,8300.660156
2016/5/25,8396.200195
2016/5/26,8394.120117
2016/5/27,8463.610352
2016/5/30,8535.870117
2016/5/31,8535.589844
2016/6/1,8597.160156
2016/6/2,8556.019531
2016/6/3,8587.360352
2016/6/6,8597.110352
2016/6/7,8679.900391
2016/6/8,8715.480469
2016/6/13,8536.219727
2016/6/14,8576.120117
2016/6/15,8606.370117
2016/6/16,8494.139648
2016/6/17,8568.080078
2016/6/20,8625.919922
2016/6/21,8684.849609
2016/6/22,8716.25
2016/6/23,8676.679688
2016/6/24,8476.990234
2016/6/27,8458.870117
2016/6/28,8505.509766
2016/6/29,8586.55957
2016/6/30,8666.580078
2016/7/1,8738.240234
2016/7/4,8760.580078
2016/7/5,8716.070313
2016/7/6,8575.75
2016/7/7,8640.910156
2016/7/8,8640.910156
2016/7/11,8786.469727
2016/7/12,8841.459961
2016/7/13,8857.75
2016/7/14,8866.360352
2016/7/15,8949.849609
2016/7/18,9008.209961
2016/7/19,9034.870117
2016/7/20,9007.679688
2016/7/21,9056.55957
2016/7/22,9013.139648
2016/7/25,8991.669922
2016/7/26,9024.790039
2016/7/27,9063.389648
2016/7/28,9076.639648
2016/7/29,8984.410156
2016/8/1,9080.709961
2016/8/2,9068.759766
2016/8/3,9001.709961
2016/8/4,9024.709961
2016/8/5,9092.120117
2016/8/8,9150.259766
2016/8/9,9155.080078
2016/8/10,9200.419922
2016/8/11,9131.830078
2016/8/12,9150.389648
2016/8/15,9148.509766
2016/8/16,9110.360352
2016/8/17,9117.700195
2016/8/18,9122.5
2016/8/19,9034.269531
2016/8/22,8981.80957
2016/8/23,9030.929688
2016/8/24,9017.379883
2016/8/25,9115.469727
2016/8/26,9131.719727
2016/8/29,9110.169922
2016/8/30,9110.55957
2016/8/31,9068.849609
2016/9/1,9001.150391
2016/9/2,8987.549805
2016/9/5,9090.129883
2016/9/6,9181.849609
2016/9/7,9259.070313
2016/9/8,9262.889648
2016/9/9,9164.879883
2016/9/12,8947.05957
2016/9/13,8940.830078
2016/9/14,8902.299805
2016/9/19,9152.879883
2016/9/20,9161.580078
2016/9/21,9228.5
2016/9/22,9235.259766
2016/9/23,9284.620117
2016/9/26,9194.519531
2016/9/29,9270.900391
2016/9/30,9166.849609
2016/10/3,9234.200195
2016/10/4,9287.769531
