Date,合計,外資,外資及陸資,外資及陸資(不含外資自營商),外資自營商,投信,自營商,自營商(自行買賣),自營商(避險)
2004-04-07,"4,638,113,575","6,417,614,637",,,,"-1,183,355,076","-596,145,986",,
2004-04-08,"5,924,397,166","5,245,514,782",,,,"-614,178,639","1,293,061,023",,
2004-04-09,"-4,626,029,365","-2,071,868,757",,,,"-1,056,335,388","-1,497,825,220",,
2004-04-12,"7,599,300,735","3,712,529,597",,,,"485,792,838","3,400,978,300",,
2004-04-13,"470,132,761","119,500,826",,,,"-605,350,771","955,982,706",,
2004-04-14,"1,335,974,217","-964,242,876",,,,"-316,786,357","2,617,003,450",,
2004-04-15,"-2,115,264,233","-1,225,701,963",,,,"-156,185,337","-733,376,933",,
2004-04-16,"-3,343,908,789","-2,954,568,602",,,,"-1,225,755,277","836,415,090",,
2004-04-19,"-4,813,139,430","-4,221,807,396",,,,"511,690,423","-1,103,022,457",,
2004-04-20,"4,659,786,599","5,004,490,264",,,,"-126,270,512","-218,433,153",,
2004-04-21,"-2,938,461,403","-4,026,414,690",,,,"1,051,593,886","36,359,401",,
2004-04-22,"8,408,430,976","8,284,494,340",,,,"1,025,890,750","-901,954,114",,
2004-04-23,"2,833,568,044","2,827,902,655",,,,"721,524,426","-715,859,037",,
2004-04-26,"5,316,571,765","4,401,190,177",,,,"1,419,401,238","-504,019,650",,
2004-04-27,"-7,046,672,176","-2,141,063,607",,,,"-980,944,139","-3,924,664,430",,
2004-04-28,"-5,268,947,682","-1,942,018,848",,,,"-974,153,886","-2,352,774,948",,
2004-04-29,"-21,182,817,422","-14,232,386,452",,,,"-368,398,080","-6,582,032,890",,
2004-04-30,"-30,180,562,494","-23,772,109,821",,,,"-35,033,103","-6,373,419,570",,
2004-05-03,"-9,342,446,898","-6,599,853,336",,,,"-255,269,212","-2,487,324,350",,
2004-05-04,"4,928,338","-1,602,164,338",,,,"-5,361,329","1,612,454,005",,
2004-05-05,"-16,772,079,327","-10,616,478,805",,,,"-1,311,649,309","-4,843,951,213",,
2004-05-06,"-3,946,472,605","-3,040,775,206",,,,"-891,941,334","-13,756,065",,
2004-05-07,"-3,433,590,615","-6,692,982,427",,,,"951,940,519","2,307,451,293",,
2004-05-10,"-12,307,818,539","-10,841,996,465",,,,"461,740,648","-1,927,562,722",,
2004-05-11,"-7,010,563,186","-3,974,926,177",,,,"-2,210,231,745","-825,405,264",,
2004-05-12,"2,442,963,996","-365,781,710",,,,"597,471,406","2,211,274,300",,
2004-05-13,"-6,106,078,058","-4,481,192,433",,,,"-509,781,706","-1,115,103,919",,
2004-05-14,"-12,254,096,987","-8,820,098,883",,,,"-799,574,076","-2,634,424,028",,
2004-05-17,"-16,688,269,422","-9,256,853,644",,,,"-1,289,825,740","-6,141,590,038",,
2004-05-18,"-8,503,280,377","-8,407,233,735",,,,"546,350,748","-642,397,390",,
2004-05-19,"2,930,785,490","-3,871,076,647",,,,"1,434,919,590","5,366,942,547",,
2004-05-20,"-3,614,241,694","-4,401,102,437",,,,"512,825,480","274,035,263",,
2004-05-21,"3,622,727,801","-1,216,074,492",,,,"667,438,060","4,171,364,233",,
2004-05-24,"1,487,635,594","80,286,263",,,,"638,631,651","768,717,680",,
2004-05-25,"1,297,778,042","85,719,752",,,,"911,025,160","301,033,130",,
2004-05-26,"6,488,015,226","4,159,663,343",,,,"677,718,562","1,650,633,321",,
