,日期,當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
0,103/02/05,40006000,0.82,2294553020,1.68,2303189660,1.69
1,103/02/06,37761000,0.86,2209373810,2.11,2213710870,2.12
2,103/02/07,47544000,1.09,2433631080,2.49,2446908680,2.5
3,103/02/10,36035000,0.9,1813166170,2.26,1805212770,2.25
4,103/02/11,26381000,0.67,1749050780,2.17,1756389040,2.17
5,103/02/12,39815000,0.85,2358704450,2.41,2367149210,2.42
6,103/02/13,40499000,0.99,1799946080,2.34,1794028370,2.33
7,103/02/14,32123000,0.74,1780402980,1.95,1757779560,1.93
8,103/02/17,25444000,0.69,1405019730,1.91,1404998690,1.91
9,103/02/18,18595000,0.49,1325532130,1.8,1329179030,1.8
10,103/02/19,18264000,0.43,1217467160,1.4,1214673740,1.4
11,103/02/20,25338000,0.55,1686976660,1.75,1692954340,1.76
12,103/02/21,52148000,1.1,1903580040,2.0,1899925410,2.0
13,103/02/24,45184000,1.0,1429925380,1.65,1426530050,1.65
14,103/02/25,35257000,0.79,1730656030,1.87,1731176700,1.88
15,103/02/26,43552000,0.87,2239647940,2.13,2255122780,2.15
16,103/02/27,40572000,0.89,2238376120,2.16,2238182990,2.15
0,103/03/03,38425000,0.87,1900058190,1.87,1911898040,1.88
1,103/03/04,33082000,0.78,1725428210,1.87,1722922430,1.86
2,103/03/05,29537000,0.65,1960070550,1.87,1955229450,1.87
3,103/03/06,28225000,0.54,2088253430,1.74,2094224870,1.75
4,103/03/07,43571000,0.77,2405097890,1.83,2388743600,1.82
5,103/03/10,21207000,0.53,1389276420,1.58,1388258570,1.58
6,103/03/11,25134000,0.59,1631841190,1.84,1633325020,1.85
7,103/03/12,23970000,0.55,1631351720,1.92,1632387300,1.92
8,103/03/13,44375000,0.89,2268138820,1.98,2269288890,1.98
9,103/03/14,27285000,0.65,1404770650,1.52,1407193800,1.53
10,103/03/17,38194000,0.92,1543353980,1.78,1551377330,1.79
11,103/03/18,33094000,0.71,1757028150,1.76,1740895370,1.74
12,103/03/19,25114000,0.53,1843217790,1.82,1839424810,1.82
13,103/03/20,23650000,0.52,1474441890,1.56,1475465760,1.56
14,103/03/21,34874000,0.79,1769134690,1.85,1757781400,1.83
15,103/03/24,31630000,0.8,1689334540,2.11,1699366170,2.12
16,103/03/25,31197000,0.76,1820059140,2.17,1825119190,2.17
17,103/03/26,37969000,0.81,1982143050,2.11,1991197310,2.12
18,103/03/27,38013000,0.8,1980202640,1.98,1980459860,1.98
19,103/03/28,34445000,0.75,1968853420,1.95,1957445470,1.94
20,103/03/31,28376000,0.69,1450784710,1.64,1455356940,1.65
0,103/04/01,40609000,0.88,2011430310,2.2,2019183450,2.21
1,103/04/02,45420000,0.88,2819326630,2.63,2828267460,2.64
2,103/04/03,59533000,1.23,2140426820,2.16,2137344130,2.16
3,103/04/07,61355000,1.35,2308701500,2.41,2318221420,2.42
4,103/04/08,39569000,0.87,2303763560,2.41,2300905000,2.41
5,103/04/09,43545000,0.93,2135772650,2.3,2143141190,2.3
6,103/04/10,50448000,0.94,2620540830,2.41,2603090150,2.39
7,103/04/11,30371000,0.65,2110239100,2.17,2123271210,2.18
8,103/04/14,28139000,0.73,1990937880,2.52,1990640860,2.52
9,103/04/15,37400000,0.84,2959636270,3.27,2983592790,3.29
10,103/04/16,43837000,0.94,3138690560,3.3,3146139430,3.31
11,103/04/17,66966000,1.36,3195779460,3.33,3205199960,3.34
12,103/04/18,56731000,1.4,2487237530,3.5,2475603850,3.48
13,103/04/21,50204000,1.29,1908675760,2.84,1916862900,2.85
14,103/04/22,70022000,1.46,3213055250,3.64,3224605650,3.65
15,103/04/23,59383000,1.09,3288178530,3.11,3285925650,3.1
16,103/04/24,78529000,1.58,3258791190,3.38,3242354250,3.37
17,103/04/25,73398000,1.15,3574175580,2.64,3539050860,2.62
18,103/04/28,71240000,1.45,3502168810,3.55,3544903440,3.6
19,103/04/29,70482000,1.49,4026837730,4.32,4038493530,4.33
20,103/04/30,77396000,1.55,3761092480,3.39,3722683560,3.36
0,103/05/02,77530000,1.74,3456147710,3.5,3471519990,3.52
1,103/05/05,62725000,1.34,3484821530,3.7,3504264680,3.72
2,103/05/06,91461000,1.75,4526332210,4.46,4554922020,4.49
3,103/05/07,105038000,2.09,3871915930,3.85,3878835030,3.85
4,103/05/08,89900000,1.78,3924069790,3.87,3928937870,3.88
5,103/05/09,95294000,1.97,3774005150,3.97,3749929140,3.95
6,103/05/12,50936000,1.17,2410511830,2.83,2400620530,2.82
7,103/05/13,55709000,1.22,2925694670,3.28,2897219170,3.25
8,103/05/14,46491000,1.03,2474266050,2.83,2486331980,2.84
9,103/05/15,48467000,1.22,2290792210,3.16,2295466670,3.16
10,103/05/16,39655000,0.99,2441259370,3.17,2450309570,3.18
11,103/05/19,39446000,0.97,2042357940,2.72,2045232280,2.72
12,103/05/20,39669000,0.96,4108138890,5.16,4087724210,5.14
13,103/05/21,41431000,1.09,1997056140,2.91,1995031020,2.9
14,103/05/22,50909000,1.12,2470133690,2.82,2485030960,2.84
15,103/05/23,56195000,1.16,3269378410,3.35,3286802480,3.37
16,103/05/26,55813000,1.21,2398241920,2.74,2401448000,2.75
17,103/05/27,64616000,1.45,2439360720,2.92,2431282650,2.91
18,103/05/28,59667000,1.14,2796091690,2.71,2804056980,2.72
19,103/05/29,58637000,1.14,3255158920,3.13,3255326260,3.13
20,103/05/30,115132000,1.96,3970542730,2.9,3983819190,2.91
0,103/06/03,57903000,1.21,3083069880,2.99,3084821170,2.99
1,103/06/04,94716000,1.79,3702354290,3.71,3742948020,3.75
2,103/06/05,83357000,1.48,3789006760,3.36,3823322680,3.39
3,103/06/06,116935000,2.08,5251044470,4.63,5160367870,4.55
4,103/06/09,77525000,1.5,3683289320,3.61,3706927070,3.63
5,103/06/10,47949000,0.92,3053955340,2.93,3060523380,2.93
6,103/06/11,48888000,0.95,3050541920,2.99,3059769450,3.0
7,103/06/12,79413000,1.49,3254383940,3.22,3242419820,3.21
8,103/06/13,51056000,1.09,2924753280,3.17,2932339150,3.18
9,103/06/16,77497000,1.61,3984823370,4.08,4021600170,4.12
10,103/06/17,74019000,1.46,3941342450,3.85,3953571080,3.87
11,103/06/18,81077000,1.34,4329747620,3.31,4295506090,3.28
12,103/06/19,53988000,1.11,3078390130,3.14,3080459080,3.14
13,103/06/20,37151000,0.8,2704275770,2.76,2690339930,2.75
14,103/06/23,61131000,1.14,3474624890,3.07,3455245610,3.05
15,103/06/24,44678000,1.0,3364185880,3.69,3355350750,3.68
16,103/06/25,37523000,0.82,2696462240,3.08,2696126510,3.08
