Date,融資(交易單位),融券(交易單位),融資金額(仟元)
2004-04-07,"21,327,707","394,212","320,317,951"
2004-04-08,"21,260,491","388,312","320,255,630"
2004-04-09,"21,350,019","357,391","321,722,942"
2004-04-12,"21,429,585","406,079","324,088,631"
2004-04-13,"21,320,544","420,739","324,424,312"
2004-04-14,"21,312,229","418,169","326,187,193"
2004-04-15,"21,614,278","407,710","333,454,225"
2004-04-16,"21,911,962","538,159","340,452,910"
2004-04-19,"22,100,021","568,864","344,527,036"
2004-04-20,"22,115,464","571,243","345,205,011"
2004-04-21,"22,239,781","618,124","347,696,041"
2004-04-22,"22,039,176","598,400","344,521,453"
2004-04-23,"22,151,111","600,632","346,565,110"
2004-04-26,"22,113,623","630,172","345,346,239"
2004-04-27,"22,129,625","595,370","345,426,646"
2004-04-28,"22,132,590","626,567","345,711,162"
2004-04-29,"22,115,966","612,990","345,599,898"
2004-04-30,"21,913,199","535,123","341,288,491"
2004-05-03,"21,829,133","553,974","338,044,349"
2004-05-04,"21,809,187","688,366","336,129,293"
2004-05-05,"21,518,110","648,824","330,081,720"
2004-05-06,"21,450,842","696,858","327,410,659"
2004-05-07,"21,467,423","767,853","326,206,199"
2004-05-10,"21,323,182","709,767","323,115,977"
2004-05-11,"21,262,755","695,378","320,427,967"
2004-05-12,"21,244,594","735,122","319,145,468"
2004-05-13,"21,248,405","708,529","318,650,829"
2004-05-14,"21,167,433","669,355","316,722,287"
2004-05-17,"20,695,215","545,092","307,392,495"
2004-05-18,"20,581,913","598,824","303,732,464"
2004-05-19,"20,745,872","783,908","304,402,400"
2004-05-20,"20,784,742","863,226","304,456,972"
2004-05-21,"20,931,869","988,832","306,084,864"
2004-05-24,"20,998,741","1,007,952","306,844,908"
2004-05-25,"21,014,547","1,046,973","306,935,660"
2004-05-26,"21,042,130","1,100,846","306,834,876"
2004-05-27,"21,072,706","1,103,854","307,974,582"
2004-05-28,"21,063,312","1,153,904","307,979,204"
2004-05-31,"21,002,786","1,129,808","307,252,569"
2004-06-01,"21,016,305","964,378","307,488,340"
2004-06-02,"20,992,505","907,171","306,591,760"
2004-06-03,"20,985,051","893,630","306,488,161"
2004-06-04,"20,968,853","917,207","305,337,055"
2004-06-07,"21,037,603","983,940","305,540,169"
2004-06-08,"21,014,295","1,001,829","305,197,435"
