類型代號,期初買入,定期定額,低點停利續扣,高點停利續扣,SMA
AA1,54.5748987854251,25.33,5.39,8.28,8.71
AA2,35.16949152542372,10.98,4.82,10.42,6.4
AB2,15.671641791044767,3.96,0.68,0.24,1.36
AC21,-3.0644916743219563,1.91,0.09,1.03,0.97
AD1,1.1559510070362489,0.66,0.66,0.66,1.16
AD2,9.998485221441689,5.09,5.09,5.09,10.0
AE21,12.5,4.18,3.5,3.15,1.65
AE23,2.947368421052632,2.17,0.85,0.8,0.42
AG,23.6893203883495,8.06,3.1,0.65,0.4
AH1,88.77139979859014,26.8,10.1,8.52,5.49
AH2,66.28599801390268,26.13,6.94,8.83,6.54
AI1,36.33893146366649,11.83,5.1,4.24,4.22
AI2,51.1659497396423,16.29,4.07,2.75,3.32
