類型代號,期初買入,定期定額,低點停利續扣,高點停利續扣,SMA
AA1,17.535638351853507,4.45,-0.1655555555555556,2.6288888888888895,4.297777777777778
AA2,9.911728202478617,0.9386666666666669,0.5306666666666667,2.2479999999999998,2.9213333333333336
AB2,10.82983287157029,3.675,0.625,0.03499999999999999,1.19
AC21,-9.28443427485394,-4.311999999999999,-1.048,0.11200000000000002,0.052000000000000005
AD1,1.1228400298765928,0.6366666666666667,0.6366666666666667,0.6366666666666667,1.1266666666666667
AD2,3.3580533143201,3.77,1.995,2.2925,3.6374999999999997
AE21,7.95854271356784,3.01,1.71,2.1799999999999997,1.19
AE23,2.947368421052632,2.17,0.85,0.8,0.42
AG,10.725838239349795,6.78,1.2149999999999999,0.3275,-0.3025
AH1,22.906090687318365,5.119999999999999,2.457,1.4929999999999999,1.3370000000000002
AH2,17.054882264049663,7.777142857142857,0.2157142857142857,2.672857142857143,2.4385714285714286
AI1,36.33893146366649,11.83,5.1,4.24,4.22
AI2,31.088971311494646,9.976666666666667,1.741666666666667,1.2633333333333334,1.9116666666666664
