類型代號,期初買入,定期定額,低點停利續扣,高點停利續扣,SMA
AA1,3.743315508021383,-4.55,-2.22,-0.64,2.48
AA2,-9.57446808510639,-8.25,-3.92,-1.81,-0.77
AB2,5.988023952095811,3.39,0.57,-0.17,1.02
AC21,-17.61680936098806,-8.25,-1.93,-0.35,-0.87
AD1,1.0967737628752472,0.62,0.62,0.62,1.1
AD2,-1.0531885665442053,2.64,0.06,0.19,-0.27
AE21,3.41708542713568,1.84,-0.08,1.21,0.73
AE23,2.947368421052632,2.17,0.85,0.8,0.42
AG,-2.4566473988439252,4.4,0.17,-0.01,-0.71
AH1,-35.68,-15.01,-4.15,-5.2,-3.21
AH2,-34.1739577972208,-19.17,-7.4,-6.18,-2.45
AI1,36.33893146366649,11.83,5.1,4.24,4.22
AI2,9.414729126102394,5.13,0.44,-0.72,-0.11
