,元大巴西指數基金,元大商品指數期貨基金,元大標普500單日反向1倍基金,元大華夏中小基金,元大新中國基金-人民幣,元大新中國基金-新台幣,元大滬深300單日正向2倍基金,元大中國平衡基金-新台幣,元大新中國基金-美元,元大標智滬深300基金,元大上證50基金,元大台灣50單日反向1倍基金,元大亞太成長基金,元大全球公用能源效率基金-配息型,元大大中華價值指數基金-人民幣,元大全球公用能源效率基金-不配息型,元大中國平衡基金-人民幣,元大全球新興市場精選組合基金,元大美元貨幣市場基金-新台幣,元大大中華價值指數基金-新台幣,元大台商收成基金,元大大中華TMT基金-人民幣,元大新興亞洲基金,元大大中華TMT基金-新台幣,元大大中華價值指數基金-美元,元大高科技基金,元大台灣高股息基金,元大中國機會債券基金-人民幣（A）不配息,元大中國機會債券基金-人民幣（B）配息,元大卓越基金,元大巴菲特基金,元大新興印尼機會債券基金-人民幣,元大人民幣貨幣市場基金-人民幣,元大美元貨幣市場基金-美元,元大萬泰貨幣市場基金,元大得利貨幣市場基金,元大得寶貨幣市場基金,元大印度指數基金,元大中國機會債券基金-新台幣,元大亞太政府公債指數基金（A）-不配息型,元大亞太政府公債指數基金（B）-配息型,元大台灣中型100基金,元大新興印尼機會債券基金-新台幣配息,元大新興印尼機會債券基金-新台幣不配息,元大印度基金,元大人民幣貨幣市場基金-新台幣,元大台灣金融基金,元大經貿基金,元大台灣電子科技基金,元大多福基金,元大新興印尼機會債券基金-美金,元大台灣加權股價指數基金,元大台灣卓越50基金,元大摩臺基金,元大滬深300單日反向1倍基金,元大全球ETF穩健組合基金,元大富櫃50基金,元大2001基金,元大標普高盛原油ER指數股票型期貨信託基金,元大店頭基金,元大全球股票入息基金-美元配息,元大黃金期貨基金,元大全球股票入息基金-新台幣不配息,元大全球ETF成長組合基金,元大全球不動產證券化基金-人民幣,元大多多基金,元大全球股票入息基金-新台幣配息,元大新主流基金,元大全球不動產證券化基金-美元,元大全球地產建設入息基金-配息型,元大全球不動產證券化基金（A）-不配息型,元大全球地產建設入息基金-不配息型,元大標普500基金,元大全球不動產證券化基金（B）-配息型,元大全球農業商機基金,元大台灣50單日正向2倍基金,元大印尼指數基金,元大標普500單日正向2倍基金
2016-04-01,4.417,4.984,19.43,6.57,9.04,9.41,11.14,13.36,9.002,16.39,26.38,18.75,9.47,5.86,9.63,7.45,2.68,11.92,9.8273,13.586,20.61,9.55,8.89,9.5,9.585,12.35,22.18,10.2506,9.9058,40.33,23.4,11.3309,10.5626,10.0012,14.9803,16.1166,11.8839,8.343,10.5616,9.4362,8.3996,24.8,11.0843,11.2123,9.44,10.9034,12.7,29.16,27.43,50.49,11.1994,18.399,63.95,29.85,19.17,14.25,11.47,52.79,15.59,7.53,9.015,7.64,9.57,9.95,10.3,16.02,9.4,19.72,10.26,6.92,11.69,8.5,19.87,8.58,15.69,19.86,8.731,20.14
2016-04-06,4.126,4.998,19.51,6.75,9.24,9.64,11.25,13.44,9.198,16.53,26.48,19.12,9.39,5.85,9.5,7.44,2.69,11.82,9.847,13.413,20.38,9.79,8.83,9.75,9.444,12.4,22.03,10.2657,9.9203,40.22,23.44,11.3356,10.5677,10.0015,14.981,16.1173,11.8844,8.242,10.5815,9.4454,8.4078,24.64,11.0936,11.2216,9.34,10.9122,12.46,29.07,26.91,50.11,11.1866,18.082,62.52,29.2,19.17,14.25,11.39,53.0,15.74,7.5,8.967,7.65,9.54,9.93,10.26,15.87,9.37,19.67,10.202,6.88,11.65,8.45,19.93,8.55,15.42,18.99,8.739,20.13
2016-04-07,4.1,4.973,19.74,6.7,9.19,9.57,10.94,13.42,9.141,16.28,26.11,19.17,9.47,5.83,9.52,7.41,2.69,11.79,9.8349,13.41,20.2,9.69,8.8,9.62,9.455,12.31,22.04,10.2791,9.9333,39.9,23.25,11.3471,10.5687,10.0015,14.9811,16.1174,11.8845,8.131,10.5759,9.3934,8.3615,24.5,11.0845,11.2124,9.22,10.8932,12.37,29.01,26.91,49.93,11.1912,18.044,62.41,29.13,19.37,14.23,11.31,52.82,15.5,7.48,8.907,7.74,9.46,9.86,10.33,15.81,9.29,19.61,10.268,6.9,11.71,8.47,19.65,8.59,15.36,18.9,8.732,19.61
2016-04-08,4.362,5.111,19.69,6.69,9.14,9.53,11.03,13.41,9.097,16.26,25.97,19.06,9.55,5.89,9.56,7.48,2.68,11.86,9.8495,13.506,20.29,9.59,8.86,9.55,9.508,12.44,21.9,10.2749,9.9292,40.3,23.52,11.4347,10.5696,10.0016,14.9812,16.1176,11.8846,8.173,10.598,9.452,8.4137,24.51,11.1979,11.3272,9.28,10.9214,12.4,29.13,27.11,50.04,11.289,18.149,62.97,29.36,19.36,14.29,11.38,53.41,16.37,7.56,8.969,7.77,9.54,9.93,10.37,15.94,9.37,19.82,10.316,6.95,11.78,8.53,19.74,8.65,15.52,19.19,8.732,19.75
2016-04-11,4.457,5.117,19.74,6.75,9.23,9.63,11.17,13.57,9.205,16.52,26.23,18.99,9.69,5.88,9.61,7.47,2.72,11.89,9.8308,13.568,20.38,9.7,8.9,9.66,9.57,12.38,21.91,10.2753,9.9296,40.17,23.43,11.4627,10.5725,10.0017,14.9816,16.118,11.8849,8.295,10.5937,9.4733,8.4326,24.61,11.2206,11.3501,9.38,10.9197,12.4,28.92,27.21,50.16,11.3335,18.177,63.2,29.48,19.19,14.27,11.38,53.08,16.68,7.51,8.971,7.85,9.53,9.93,10.39,15.88,9.35,19.8,10.348,6.93,11.79,8.51,19.66,8.66,15.49,19.33,8.577,19.6
2016-04-12,4.608,5.212,19.53,6.7,9.18,9.57,11.15,13.56,9.154,16.46,26.19,19.03,9.69,5.9,9.64,7.5,2.72,11.92,9.8291,13.608,20.32,9.67,8.93,9.61,9.6,12.17,21.96,10.2826,9.9366,39.39,22.97,11.5144,10.5735,10.0018,14.9817,16.1181,11.885,8.357,10.5932,9.5041,8.4601,24.51,11.2626,11.3926,9.45,10.9124,12.41,28.27,27.05,49.96,11.3781,18.082,63.08,29.42,19.24,14.29,11.15,52.34,17.22,7.34,9.044,7.86,9.6,9.98,10.42,15.62,9.43,19.5,10.376,6.98,11.82,8.57,19.83,8.68,15.54,19.28,8.66,20.0
2016-04-13,4.683,5.225,19.33,6.71,9.27,9.63,11.55,13.76,9.221,16.67,26.5,18.72,9.88,5.89,9.91,7.49,2.77,12.01,9.8191,13.942,20.68,9.74,9.07,9.66,9.845,12.34,22.16,10.2848,9.9218,40.18,23.46,11.4689,10.5744,10.0018,14.9819,16.1183,11.8851,8.441,10.5665,9.4703,8.4049,24.79,11.1864,11.3611,9.53,10.8835,12.57,28.93,27.46,50.36,11.3128,18.338,64.13,29.89,18.87,14.32,11.25,53.1,17.12,7.47,9.101,7.79,9.68,10.04,10.47,15.88,9.48,19.79,10.413,7.0,11.85,8.62,20.01,8.68,15.7,19.92,8.641,20.37
2016-04-14,4.653,5.2,19.34,6.77,9.32,9.7,11.47,13.84,9.263,16.8,26.56,18.66,10.06,5.92,9.94,7.53,2.78,12.09,9.8457,14.015,20.7,9.82,9.11,9.75,9.871,12.32,22.29,10.2888,9.9256,40.23,23.52,11.4677,10.5753,10.002,14.982,16.1184,11.8851,,10.5862,9.4608,8.3966,24.86,11.2017,11.3766,,10.9005,12.59,29.08,27.45,50.54,11.2982,18.371,64.22,29.92,18.96,14.37,11.27,53.3,16.95,7.49,9.119,7.65,9.73,10.08,10.62,15.95,9.52,19.85,10.544,7.08,12.03,8.72,20.07,8.81,15.72,20.01,8.574,20.43
2016-04-15,4.645,5.161,19.34,6.74,9.28,9.65,11.47,13.8,9.236,16.66,26.54,18.54,9.97,5.92,9.95,7.53,2.77,12.06,9.8188,13.997,20.88,9.77,9.05,9.69,9.885,12.38,22.34,10.291,9.9278,40.26,23.62,11.4646,10.5762,10.002,14.9821,16.1186,11.8852,,10.5623,9.4544,8.3908,24.97,11.181,11.3556,,10.8843,12.67,29.07,27.46,50.72,11.308,18.428,64.38,29.99,18.91,14.35,11.23,53.45,16.61,7.49,9.116,7.7,9.7,10.05,10.6,16.02,9.49,19.87,10.543,7.06,12.0,8.69,20.0,8.79,15.7,20.18,8.614,20.35
2016-04-18,4.527,5.174,19.24,6.74,9.25,9.63,11.26,13.72,9.202,16.56,26.33,18.7,9.85,5.95,9.88,7.57,2.75,12.08,9.8354,13.918,20.79,9.68,9.06,9.62,9.813,12.38,22.21,10.2969,9.9335,39.98,23.58,11.5286,10.579,10.0022,14.9825,16.119,11.8855,8.557,10.5862,9.5051,8.4359,24.86,11.2623,11.4382,9.67,10.9054,12.65,29.09,27.31,50.67,11.3713,18.334,64.08,29.85,19.13,14.36,11.25,53.22,16.51,7.48,9.121,7.71,9.72,10.07,10.43,15.99,9.52,19.74,10.371,7.0,11.83,8.62,20.17,8.66,15.66,19.87,8.782,20.61
