,元大巴西指數基金,元大美國政府20年期（以上）債券單日正向2倍,元大商品指數期貨基金,元大MSCI中國A股國際通ETF基金,元大美國政府20年期（以上）債券基金,元大標普500單日反向1倍基金,元大華夏中小基金,元大新中國基金-人民幣,元大道瓊白銀ER指數股票型基金,元大新中國基金-新台幣,元大標普高盛原油ER單日反向1倍指數股票型期,元大標普金日傘型期貨信託基金之元大標普高盛黃,元大滬深300單日正向2倍基金,元大10年期以上美元投資級公共事業電能債券E,元大中國平衡基金-新台幣,元大新中國基金-美元,元大標智滬深300基金,元大20年期以上AAA至A級美元公司債券ET,元大大中華豐益平衡基金-人民幣,元大上證50基金,元大台灣50單日反向1倍基金,元大亞太成長基金,元大大中華豐益平衡基金-新台幣,元大全球公用能源效率基金-配息型,元大標普美元ER單日正向2倍指數股票型期貨信,元大10年期以上美元投資級醫療保健債券ETF,元大大中華價值指數基金-人民幣,元大美國政府7至10年期債券基金,元大全球公用能源效率基金-不配息型,元大中國平衡基金-人民幣,元大全球新興市場精選組合基金,元大亞太優質高股息100指數基金-新台幣（I,元大美元貨幣市場基金-新台幣,元大亞太優質高股息100指數基金-新台幣（A,元大大中華價值指數基金-新台幣,元大台商收成基金,元大大中華TMT基金-人民幣,元大新興亞洲基金,元大10年期以上美元投資級銀行債券-ETF-,元大大中華TMT基金-新台幣,元大亞太優質高股息100指數基金-新台幣（B,元大標普美元ER指數股票型期貨信託基金,元大大中華價值指數基金-美元,元大澳幣貨幣市場基金-新台幣,元大20年期以上BBB級美元公司債券ETF基,元大高科技基金,元大新興亞洲美元債券基金-美元（B）配息,元大新興亞洲美元債券基金-美元（A）不配息,元大標普金日傘型期貨信託基金之元大標普日圓E,元大亞太優質高股息100指數基金-美元（B）,元大台灣高股息基金,元大亞洲優選高收益債券基金B類型-（人民幣避,元大新興亞洲美元債券基金-新台幣避險（A）不,元大中國機會債券基金-人民幣（A）不配息,元大中國機會債券基金-人民幣（B）配息,元大亞洲優選高收益債券基金B類型-（美元）,元大亞洲優選高收益債券基金A類型-（美元）,元大卓越基金,元大巴菲特基金,元大亞太優質高股息100指數基金-澳幣（B）,元大新興印尼機會債券基金-人民幣,元大美國政府1至3年期債券ETF基金,元大人民幣貨幣市場基金-人民幣,元大美元貨幣市場基金-美元,元大萬泰貨幣市場基金,元大得利貨幣市場基金,元大得寶貨幣市場基金,元大標普金日傘型期貨信託基金之元大標普日圓E,元大新興亞洲美元債券基金-新台幣（A）不配息,元大澳幣貨幣市場基金-澳幣,元大印度指數基金,元大中國機會債券基金-新台幣,元大亞太政府公債指數基金（A）-不配息型,元大亞太政府公債指數基金（B）-配息型,元大台灣中型100基金,元大新興雙印四年到期債券基金-新台幣（B）配,元大新興雙印四年到期債券基金-新台幣（A）不,元大亞洲優選高收益債券基金A類型-（新台幣）,元大亞洲優選高收益債券基金B類型-（新台幣）,元大新興印尼機會債券基金-新台幣配息,元大新興印尼機會債券基金-新台幣不配息,元大印度基金,元大人民幣貨幣市場基金-新台幣,元大標普美國高息特別股-ETF,元大台灣金融基金,元大新東協平衡基金-新台幣,元大台灣高股息低波動ETF基金,元大中國國債及政策性金融債3至5年期債券ET,元大經貿基金,元大新興雙印四年到期債券基金-美元（B）配息,元大新興雙印四年到期債券基金-美元（A）不配,元大台灣電子科技基金,元大多福基金,元大新興印尼機會債券基金-美金,元大台灣加權股價指數基金,元大台灣卓越50基金,元大新東協平衡基金-美元,元大標普美元ER單日反向1倍指數股票型期貨信,元大摩臺基金,元大標普高盛黃金ER單日反向1倍指數股票型期,元大滬深300單日反向1倍基金,元大全球人工智慧-ETF基金,元大全球ETF穩健組合基金,元大富櫃50基金,元大2001基金,元大歐洲50基金,元大標普高盛原油ER指數股票型期貨信託基金,元大實質多重資產基金人民幣,元大店頭基金,元大全球股票入息基金-美元配息,元大黃金期貨基金,元大全球股票入息基金-新台幣不配息,元大實質多重資產基金美元,元大全球ETF成長組合基金,元大全球不動產證券化基金-人民幣,元大多多基金,元大實質多重資產基金新臺幣,元大全球股票入息基金-新台幣配息,元大新主流基金,元大全球不動產證券化基金-美元,元大全球地產建設入息基金-配息型,元大全球不動產證券化基金（A）-不配息型,元大全球地產建設入息基金-不配息型,元大標普500基金,元大美國政府20年期（以上）債券單日反向1倍,元大全球不動產證券化基金（B）-配息型,元大標普高盛原油ER單日正向2倍指數股票型期,元大全球農業商機基金,元大台灣50單日正向2倍基金,元大日經225基金,元大印尼指數基金,元大標普500單日正向2倍基金
2015/12/21,,,5.1710,,,,,,,,,,,,,,,,,30.8400,19.8900,10.3000,,,,,,,,,,,,,,20.2800,,,,,,,,,,,,,,,22.1100,,,,,,,,,,,,,,,16.0998,11.8714,,,,,,,,24.7100,,,,,,,,,,12.9500,,,,,,,26.1800,,,17.6700,60.6000,,,28.5400,,,,,11.4800,51.4900,,,,7.0400,,,,,,,,,,,,,,,,,,,,18.0300,,,
2015/12/22,,,5.1400,,,,,,,,,,,,,,,,,30.7400,19.9000,10.3200,,5.8800,,,,,7.4500,,,,,,,20.2600,,,,,,,,,,12.0000,,,,,22.0800,,,10.2472,9.9560,,,38.2800,21.6400,,,,10.4449,,14.9650,16.0999,11.8716,,,,,10.6951,,,24.6400,,,,,,,,10.9448,,13.0300,,,,27.4500,,,26.1400,49.6400,,17.6930,60.8200,,,28.6300,,,,14.2300,11.4200,51.3600,,16.0300,,6.9900,,,,,10.2200,,15.3400,,,18.6600,,,,,,,,,,18.0500,,,
2015/12/23,,,5.2250,,,,,10.3500,,10.9000,,,,,,10.2010,,,,30.8400,19.8600,10.3400,,5.9300,,,,,7.5100,,,,,,,20.4700,,9.3500,,,,,,,,11.9400,,,,,22.1700,,,10.2585,9.9669,,,38.3000,21.6400,,,,10.4459,,14.9652,16.1001,11.8717,,,,,10.6819,,,24.7600,,,,,,,,10.9193,,13.1400,,,,27.4500,,,26.1500,49.6800,,17.7350,60.9900,,,28.7200,,,,14.2900,11.3200,51.1300,,16.4100,,6.9400,,,,,10.3200,,15.2700,,,18.6700,,,,,,,,,,18.1200,,,
2015/12/24,,,5.2440,,,19.8900,8.2100,10.3600,,10.8900,,,13.9700,,,10.2140,,,,30.5400,19.7900,10.2700,,5.9100,,,10.0300,,7.4900,,,,,,14.2690,20.4300,,9.3300,,,,,9.8820,,,11.8700,,,,,22.0500,,,10.2644,9.9727,,,38.1800,21.5500,,,,10.4468,,14.9654,16.1003,11.8718,,,,,10.6606,,,24.6800,,,,,,,,10.8924,,13.1900,,,,27.2100,,,26.1300,49.6200,,17.7610,61.1700,,,28.7800,,18.4200,,14.2600,11.1900,50.8800,,16.7600,,6.8500,9.1830,6.8100,9.8400,,10.3000,,15.2200,,9.7500,18.6200,,,,,20.0900,,,,,18.2500,,,20.1400
2015/12/25,,,,,,,8.2400,10.3700,,10.8900,,,14.1900,,,10.2220,,,,,19.6600,10.2500,,5.9000,,,,,7.4800,,,,,,,20.5100,,,,,,,,,,11.9500,,,,,22.1400,,,,,,,38.3900,21.7300,,,,,,14.9655,16.1005,11.8719,,,,,,,,24.8300,,,,,,,,,,13.2200,,,,27.5500,,,26.2900,49.7300,,17.8420,61.4100,,,28.9000,,18.3300,,,11.3000,51.1200,,,,6.9000,,,,,,,15.3100,,,18.7000,,,,,,,,,,18.4700,,,
2015/12/28,3.6820,,,,,19.9200,8.0600,10.2000,,10.6900,,,13.1800,,,10.0240,18.4100,,,29.6500,19.7000,10.2800,,5.9200,,,9.9900,,7.5000,,12.0900,,,,14.1820,20.4800,,9.2900,,,,,9.8160,,,11.9400,,,,,22.0800,,,10.2823,9.9901,,,38.3500,21.6300,,,,10.4508,,14.9660,16.1010,11.8723,,,,,10.6549,,,24.7800,,,,,,,,10.8725,,13.2300,,,,27.4200,,,26.2600,49.7500,,17.8170,61.4400,,,28.9000,,18.9500,,14.2500,11.2900,51.0300,,,,6.8900,9.1670,6.7600,9.8200,,10.2700,9.9500,15.2500,,9.7400,18.6200,9.7750,,11.3600,,20.0500,,8.3700,,,18.4000,,,20.0900
2015/12/29,3.6710,,5.2670,,,19.7000,8.1000,10.2600,,10.7200,,,13.3400,,,10.0530,18.5400,,,29.9500,19.8600,10.2800,,5.9400,,,10.0100,,7.5200,,12.1100,,,,14.1790,20.2800,,9.3000,,,,,9.8100,,,11.8800,,,,,21.9800,,,10.2950,10.0024,,,38.0900,21.5200,,,,10.4519,,14.9662,16.1012,11.8725,,,,,10.6463,,,24.7000,,,,,,,,10.8514,,13.1500,,,,27.3200,,,26.0000,49.5900,,17.6840,60.8100,,,28.6300,,18.8200,,14.2800,11.2600,50.8600,,16.6800,,6.8700,9.2040,6.7500,9.8700,,10.3500,9.9900,15.2000,,9.7800,18.5200,9.7870,,11.3800,,20.2900,,8.3900,,,18.1000,,,20.5800
2015/12/30,3.5600,,5.2180,,,19.9200,8.1600,10.2800,,10.7800,,,12.9900,,,10.0970,18.4400,,,30.0200,19.9300,10.2800,,5.9400,,,9.9400,,7.5300,,12.0400,,,,14.1080,20.1800,,9.2700,,,,,9.7560,,,11.8600,,,,,21.8300,,,10.2805,9.9883,,,38.1000,21.5300,,,,10.4529,,14.9663,16.1013,11.8726,,,,8.7170,10.6518,,,24.5900,,,,,,,,10.8732,,13.0600,,,,27.3800,,,25.9500,49.5300,,17.6560,60.7100,,,28.5700,,19.1200,,14.2600,11.2400,50.8300,,16.3300,,6.8600,9.1460,6.7000,9.8100,,10.3000,9.9700,15.1700,,9.7200,18.5000,9.7880,6.8600,11.3900,8.3900,20.1900,,8.3900,,,17.9600,,,20.2600
2015/12/31,,,5.2350,,,20.0300,8.0500,10.1800,,10.6700,,,13.0400,,14.1200,9.9920,18.3500,,,29.7100,19.8900,10.3200,,5.9500,,,9.9600,,7.5400,2.8100,,,,,14.1480,20.3000,11.2600,9.2900,,11.2800,,,9.7800,,,11.9300,,,,,21.8200,,,10.2808,9.9887,,,38.4300,21.7800,,10.5134,,10.4540,,14.9665,16.1015,11.8727,,,,8.8190,10.6554,,,24.6000,,,,,10.3487,10.3487,10.1000,10.8773,,13.1700,,,,27.5100,,,26.0300,49.9500,10.2610,17.7630,61.2200,,,28.7600,,19.0000,,14.2600,11.3000,51.2100,,16.6600,,6.9200,9.0860,6.7000,9.7500,,10.2600,,15.2900,,9.6700,18.6400,,,,,19.9200,,,,,18.0900,,,19.8200
2016/01/04,3.4170,,5.2160,,,20.4100,7.4900,9.6700,,10.0900,,,11.2800,,13.8000,9.4040,17.2800,,,28.0600,20.3700,10.0500,,5.8400,,,9.7500,,7.4000,2.7600,11.8600,,,,13.7940,19.7300,10.5400,9.0700,,10.5100,,,9.4860,,,11.7500,,,,,21.3100,,,10.2899,9.9975,,,37.6400,21.3000,,10.5198,,10.4583,,14.9671,16.1022,11.8732,,,,8.6520,10.6210,8.9286,8.0159,24.0500,,,,,10.3124,10.3124,9.9900,10.8371,,12.7000,,,,26.9600,,,25.4600,49.0100,10.1728,17.3080,59.3400,,,27.9000,,20.4200,,14.2200,11.1100,50.1800,,16.6600,,6.8300,8.9580,6.7900,9.6600,,10.1500,10.0500,14.9500,,9.5800,18.2300,9.7700,6.8300,11.4300,8.3500,19.7700,,8.4200,,15.4200,17.1600,,7.8510,19.4200
