,國泰A50傘型基金之富時中國A50單日正向2倍基金,國泰富時中國A50基金,國泰中國內需增長基金台幣級別,國泰中國新興戰略基金台幣級別,國泰中國內需增長基金美元I級別,國泰中國內需增長基金美元級別,國泰中港台基金台幣級別,國泰中國新興戰略基金美元級別,國泰中港台基金美元級別,國泰歐洲精選基金-台幣級別,國泰亞洲成長基金台幣級別,國泰亞洲成長基金美元級別,國泰亞太入息平衡基金-人民幣級別A（不配息型）,國泰新興市場基金台幣級別,國泰亞太入息平衡基金-澳幣級別A（不配息型）,國泰歐洲精選基金-美元級別,國泰全球資源基金台幣級別,國泰亞太入息平衡基金-台幣級別A（不配息型）,國泰亞太入息平衡基金-台幣級別B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-澳幣A（不配息型）,國泰亞太入息平衡基金-美金級別A（不配息型）,國泰亞太入息平衡基金-美金級別B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-新台幣B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-新台幣A（不配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元I（不配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元A（不配息型）,國泰科技生化基金,國泰中小成長基金-台幣級別,國泰新興高收益債券基金（人民幣）-配息B,國泰新興高收益債券基金（人民幣）-不配息A,國泰價值卓越基金,國泰小龍基金-台幣級別,國泰國泰基金新台幣級別,國泰大中華基金,國泰策略高收益債券基金-台幣級別A（不配息型）,國泰策略高收益債券基金-台幣級別B（配息型）,國泰新興高收益債券基金（新台幣）-不配息A,國泰新興高收益債券基金（新台幣）-配息B,國泰新興高收益債券基金（美元）-不配息A,國泰新興高收益債券基金（美元）-配息B,國泰新興高收益債券基金（美元）-不配息I,國泰中國高收益債券基金-CNY（A）不分配,國泰幸福階梯傘型基金之全球積極組合基金-新台幣A,國泰幸福階梯傘型基金之全球積極組合基金-美金級別,國泰全球基礎建設基金台幣級別,國泰中國高收益債券基金-TWD（B）分配,國泰中國高收益債券基金-TWD（A）不分配,國泰豐益債券組合基金台幣級別,國泰全球基礎建設基金美元級別,國泰紐幣八年期保本基金,國泰紐幣2021保本基金,國泰紐幣保本基金,國泰中國傘型基金之人民幣貨幣市場基金人民幣級別,國泰中國高收益債券基金-USD（A）不分配,國泰台灣貨幣市場基金,國泰中國傘型基金之中國新興債券基金台幣級別,國泰中國傘型基金之人民幣貨幣市場基金美元級別,國泰中國傘型基金之中國新興債券基金美元級別,國泰A50傘型基金之富時中國A50單日反向1倍基金
2015/12/18,,,,,,,,,,,,,,,,,,,,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/21,,,,18.04,,,14.28,0.5411,0.4326,,,,,,,,,,,0.4128,,,,,,,,,,,,,,,,,,,,,,,,15.83,0.4785,,,,,,,,,10.5779,,,,1.6104,,
2015/12/22,,,,18.1,,,14.3,0.5428,0.4331,,,,,,,,,,,0.4111,,,,,,,,,,,,,,,,,,,,,,,,15.87,0.4796,,,,,,,,,10.5788,,,,1.6168,,
2015/12/23,,,,17.99,,,14.26,0.5395,0.4318,,,,,,,,,,,0.413,,,,,,,,,,,,,,,,,,,,,,,2.0153,16.02,0.484,,10.0392,10.0392,,,,,,10.5796,0.3041,,,1.6126,,
2015/12/24,,,,17.96,,,14.13,0.54,0.429,,,,,,,,,,,0.4126,,,,,,,,,,,,,,,,,,,,,,,2.0156,15.99,0.4845,,10.0172,10.0172,,,,,,10.5805,0.3043,,,1.6134,,
2015/12/25,,,,18.03,,,14.17,0.5421,0.4303,10.28,,,1.9822,,0.4176,0.3276,,,,,,,,,,,,,,,,,,,,9.6341,8.0904,,,,,,2.0159,15.99,0.4845,,10.0192,10.0192,,,,,,,0.3044,,,,,
2015/12/28,,,,17.77,,,13.89,0.534,0.4216,10.26,,,1.9864,,0.418,0.3267,,,,0.4123,,,,,,,,,,,,,,,,9.6471,8.1013,,,,,,2.0197,15.93,0.4824,,10.0144,10.0144,11.6499,,,,,10.5841,0.3041,,,1.6094,,
2015/12/29,,,,17.83,,,13.96,0.5357,0.4236,10.44,,,1.992,8.93,0.4155,0.3323,,,,0.4115,,,,,,,,,,,,,,,,9.6546,8.1076,,,,,,2.0223,16.03,0.4852,,10.006,10.006,11.6527,,,,,10.5851,0.3037,,,1.6055,,
2015/12/30,,18.45,15.79,17.84,0.5269,0.5217,13.93,0.5359,0.4224,10.44,9.11,0.2847,1.9897,8.88,0.4162,0.3322,5.8,,,0.4111,,,,,,,,,,1.4538,1.916,,,,,9.6513,8.1048,,,,,,2.0221,15.97,0.4832,,10.024,10.024,11.6515,,,,,10.586,0.3041,,,1.608,,
2015/12/31,,18.34,15.68,17.7,0.5231,0.5179,13.87,0.5313,0.4203,10.36,9.11,0.2846,1.9906,8.9,0.4163,0.3295,5.77,,,0.4096,,,,,,,,26.72,36.7,1.4549,1.917,11.25,12.76,,,9.6479,8.102,9.619,7.3147,0.2869,0.2212,0.3077,2.0227,15.88,0.4803,12.69,10.03,10.03,11.6545,0.4081,10.6598,10.4096,10.9835,10.5868,0.3042,,,1.6079,,
