Date,野村六年階梯到期亞太新興債券基金（澳幣累積）,野村全球金融收益基金累積類型新臺幣,野村六年目標到期亞太新興債券基金（美元年配）,野村六年目標到期亞太新興債券基金（美元累積）,野村鑫全球債券組合基金-累積類型,野村鑫全球債券組合基金-S類型新臺幣累積,野村六年階梯到期亞太新興債券基金（美元年配）,野村六年階梯到期亞太新興債券基金（美元累積）,野村六年目標到期亞太新興債券基金（人民幣年配,野村六年目標到期亞太新興債券基金（人民幣累積,野村六年階梯到期亞太新興債券基金（人民幣年配,野村全球金融收益基金累積類型人民幣,野村六年階梯到期亞太新興債券基金（人民幣累積,野村全球金融收益基金累積類型美元,野村六年目標到期新興市場債券基金人民幣,野村四年階梯到期新興市場債券基金累積類型人民,野村六年目標到期新興市場債券基金美元,野村四年階梯到期新興市場債券基金季配類型人民,野村六年階梯到期新興市場債券基金-美元,野村亞太新興債券基金-累積類型人民幣計價,野村六年階梯到期新興市場債券基金-人民幣,野村-2024-目標到期新興市場企業債券基金,野村-2024-目標到期新興市場企業債券基金,野村全球短期收益基金-人民幣計價,野村-2024-目標到期新興市場企業債券基金,野村-2024-目標到期新興市場企業債券基金,野村全球短期收益基金-美元計價,野村五年階梯到期新興市場債券基金（人民幣累積,野村環球高收益債基金-月配類型新臺幣計價,野村五年階梯到期新興市場債券基金（人民幣季配,野村全球短期收益基金-新臺幣計價,野村四年階梯到期新興市場債券基金累積類型美元,野村全球不動產證券化基金-月配類型人民幣計價,野村四年階梯到期新興市場債券基金季配類型美元,野村-2024-目標到期新興市場企業債券基金,野村五年階梯到期新興市場債券基金（美元累積）,野村五年階梯到期新興市場債券基金（美元季配）,野村四年階梯到期新興市場債券基金季配類型新臺,野村四年階梯到期新興市場債券基金累積類型新臺,野村環球高收益債基金-月配類型美元計價,野村五年階梯到期新興市場債券基金（新台幣季配,野村五年階梯到期新興市場債券基金（新台幣累積,野村美利堅高收益債基金-月配類型美元計價,野村美利堅高收益債基金-月配類型人民幣計價,野村美利堅高收益債基金-月配類型新臺幣計價,野村貨幣市場基金,野村精選貨幣市場基金,野村鴻揚貨幣市場基金,野村全球金融收益基金S-類型新臺幣,野村邊境市場高收益主權債基金-S-新臺幣,野村中小基金-S類型新臺幣累積,野村亞太複合高收益債基金-S類型新臺幣累積,野村日本領先基金-S類型新臺幣累積,野村亞太高股息基金-S類型新臺幣累積,野村中國境內新興債券基金（人民幣累積）,野村歐洲中小成長基金-S類型新臺幣累積,野村亞太高股息基金-累積型人民幣計價,野村全球不動產證券化基金-S類型新臺幣累積,野村環球高收益債基金-月配類型人民幣計價,野村中國境內新興債券基金-S-新臺币,野村亞太高股息基金-季配型人民幣計價,野村多元收益平衡基金-S類型新臺幣累積,野村台灣高股息基金,野村新興高收益債組合基金-月配型,野村全球金融收益基金月配類型新臺幣,野村亞太新興債券基金-月配類型新臺幣計價,野村全球金融收益基金月配類型美元,野村全球金融收益基金月配類型人民幣,野村全球不動產證券化基金月配型新臺幣計價,野村亞太新興債券基金-月配類型美元計價,野村中國境內新興債券基金（新台幣累積）,野村亞太新興債券基金-月配類型人民幣計價,野村中國境內新興債券基金（美元累積）,野村多元收益平衡基金-月配類型新臺幣計價,野村多元收益平衡基金-月配類型美元計價,野村多元收益平衡基金-月配類型人民幣計價
2015/12/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3589,,,,,,,,,,,7.7983,,,9.8384,9.8681,9.8829,,,,,,,,,,,,,,8.4011,,,,,,,,,,,,,,,,,
2015/12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3555,,,,,,,,,,,7.7995,,,9.8453,9.8716,9.8834,,,,,,,,,,,,,,8.3993,,,,,,,,,,,,,,,,,
2015/12/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3598,,,,,,,,,,,7.8098,,,9.8582,9.8758,9.8962,,,,,,,,,,,,,,8.4001,,,,,,,,,,,,,,,,,
2015/12/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3839,,,,10.3300,,,,,,,7.8297,,,9.8728,9.8942,9.9131,,,,,,,,,,,,9.9800,,8.4216,,9.9800,,,,,,,,10.7000,,,,,,,
2015/12/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3826,,,,10.3500,,,,,,,7.8430,,,9.8879,9.9139,9.9121,,,,,,,,,,,,10.0400,,8.4341,,10.0400,,,,,,,,10.6900,,,,,,,
2015/12/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3777,,,,10.3900,,,,,,,7.8395,,,9.8826,9.9155,9.9092,,,,,,,,,,,,10.0100,,8.4327,,10.0100,,,,,,,,10.7100,,,,,,,
2015/12/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4009,,,,10.5000,,,,,,,7.8576,,,9.8923,9.9308,9.9215,,,,,,,,,,,,10.0100,,8.4576,,10.0100,,,,,,,,10.8100,,,,,,,
2015/12/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4188,,,,10.4600,,,,,,,7.8686,,,9.8964,9.9403,9.9276,,,,,,,,,,,,9.9900,,8.4860,,9.9900,,,,,,,,10.7800,,,,,,,
2015/12/31,,,,,12.8084,,,,,,,,,,,,,,,,,,,,,,,,8.4197,,,,10.4000,,,,,,,7.8671,,,9.8945,9.9349,9.9275,,,,,,,,,,,,10.0000,,8.4846,,10.0000,,,8.4948,,,,,10.7200,,,,,,,
2016/01/04,,,,,12.8543,,,,,,,,,,,,,,,,,,,,,,,,8.4155,,,,10.3300,,,,,,,7.8450,,,9.8497,9.9002,9.9080,16.1145,12.0184,16.7806,,,,,,,,,9.8600,,8.4584,,9.8600,,17.4400,8.5220,,,,,10.6200,,,,,,,
2016/01/05,,,,,12.8715,,,,,,,,,,,,,,,,,,,,,,,,8.4425,,,,10.4500,,,,,,,7.8537,,,9.8651,9.9198,9.9283,16.1146,12.0184,16.7807,,,,,,,,,9.8400,,8.4932,,9.8400,,17.4600,8.5366,,,,,10.7200,,,,,,,
2016/01/06,,,,,12.9266,,,,,,,,,,,,,,,,,,,,,,,,8.4609,,,,10.5000,,,,,,,7.8488,,,9.8397,9.8984,9.9298,16.1148,12.0185,16.7808,,,,,,,,,9.8000,,8.4899,,9.8000,,17.0000,8.5705,,,,,10.7200,,,,,,,
2016/01/07,,,,,12.9270,,,,,,,,,,,,,,,,,,,,,,,,8.4263,,,,10.3000,,,,,,,7.8190,,,9.8186,9.8737,9.9195,16.1150,12.0186,16.7809,,,,,,,,,9.5400,,8.4327,,9.5400,,16.6200,8.5661,,,,,10.5700,,,,,,,
