Date,野村ｅ科技基金,野村高科技基金,野村中小基金-累積類型,野村優質基金-累積類型新臺幣計價,野村優質基金-S類型新臺幣累積,野村台灣運籌基金,野村鴻運基金,野村積極成長基金,野村成長基金,野村鴻利基金,野村平衡基金,野村巴西基金,野村台灣高股息基金,野村新興傘型基金之大俄羅斯基金,野村環球基金-人民幣計價,野村動態配置多重資產基金-累積類型南非幣計價,野村動態配置多重資產基金-月配類型澳幣計價,野村動態配置多重資產基金-累積類型澳幣計價,野村動態配置多重資產基金-月配類型南非幣計價,野村六年階梯到期亞太新興債券基金（南非幣年配,野村六年階梯到期亞太新興債券基金（南非幣累積,野村六年目標到期亞太新興債券基金（南非幣累積,野村六年目標到期亞太新興債券基金（南非幣年配,野村環球基金-S類型新臺幣累積,野村邊境市場高收益主權債基金（新台幣月配）,野村邊境市場高收益主權債基金（新台幣累積）,野村邊境市場高收益主權債基金（美元月配）,野村邊境市場高收益主權債基金（人民幣月配）,野村邊境市場高收益主權債基金（人民幣累積）,野村邊境市場高收益主權債基金（美元累積）,野村環球基金-累積類型新臺幣計價,野村環球基金-美元計價,野村動態配置多重資產基金-S類型新臺幣累積,野村動態配置多重資產基金-月配類型新臺幣計價,野村動態配置多重資產基金-累積類型新臺幣計價,野村全球品牌基金,野村泰國基金,野村動態配置多重資產基金-月配類型美元計價,野村動態配置多重資產基金-累積類型美元計價,野村動態配置多重資產基金-累積類型人民幣計價,野村動態配置多重資產基金-月配類型人民幣計價,野村全球不動產證券化基金-月配類型人民幣計價,野村多元收益平衡基金-月配類型新臺幣計價,野村五年階梯到期新興市場債券基金（美元累積）,野村多元收益平衡基金-累積類型新臺幣計價,野村全球不動產證券化基金-累積類型人民幣計價,野村多元收益平衡基金-累積類型美元計價,野村多元收益平衡基金-月配類型美元計價,野村新興高收益債組合基金-累積型,野村多元收益平衡基金-累積類型人民幣計價,野村多元收益平衡基金-月配類型人民幣計價,野村新興高收益債組合基金-S類型新臺幣累積,野村新興高收益債組合基金-月配型,野村全球不動產證券化基金累積型新臺幣計價,野村六年目標到期亞太新興債券基金（人民幣年配,野村六年目標到期亞太新興債券基金（人民幣累積,野村鑫平衡組合基金-累積類型,野村六年階梯到期亞太新興債券基金（人民幣年配,野村歐洲高股息基金季配型,野村六年目標到期亞太新興債券基金（澳幣累積）,野村六年階梯到期亞太新興債券基金（人民幣累積,野村六年目標到期亞太新興債券基金（美元年配）,野村六年目標到期亞太新興債券基金（美元累積）,野村六年目標到期亞太新興債券基金（澳幣年配）,野村六年階梯到期新興市場債券基金-人民幣,野村鑫全球債券組合基金-累積類型,野村六年階梯到期亞太新興債券基金（澳幣年配）,野村美利堅高收益債基金-月配類型新臺幣計價,野村鑫全球債券組合基金-S類型新臺幣累積,野村五年階梯到期新興市場債券基金（人民幣累積,野村六年目標到期新興市場債券基金美元,野村六年階梯到期亞太新興債券基金（澳幣累積）,野村五年階梯到期新興市場債券基金（人民幣季配,野村六年階梯到期亞太新興債券基金（美元年配）,野村六年階梯到期亞太新興債券基金（美元累積）,野村六年目標到期新興市場債券基金人民幣,野村六年階梯到期新興市場債券基金-美元,野村美利堅高收益債基金-S類型新臺幣累積,野村美利堅高收益債基金-累積類型新臺幣計價,野村五年階梯到期新興市場債券基金（美元季配）,野村五年階梯到期新興市場債券基金（新台幣累積,野村全球高股息基金累積型新臺幣計價,野村-2024-目標到期新興市場企業債券基金,野村-2024-目標到期新興市場企業債券基金,野村-2024-目標到期新興市場企業債券基金,野村四年階梯到期新興市場債券基金累積類型人民,野村四年階梯到期新興市場債券基金累積類型美元,野村環球高收益債基金-月配類型新臺幣計價,野村四年階梯到期新興市場債券基金季配類型人民,野村全球高股息基金-S類型新臺幣累積,野村全球高股息基金-季配類型人民幣計價,野村亞太複合高收益債基金-累積類型美元計價,野村-2024-目標到期新興市場企業債券基金,野村環球高收益債基金-S類型新臺幣累積,野村鑫平衡組合基金-S類型新臺幣累積,野村全球不動產證券化基金月配型新臺幣計價,野村亞太複合高收益債基金-月配類型美元計價,野村環球高收益債基金-累積類型新臺幣計價,野村環球高收益債基金-累積類型美元計價,野村亞太複合高收益債基金-月配類型人民幣計價,野村四年階梯到期新興市場債券基金季配類型美元
2015/12/21,,,,,,,,,,,,,,,10.5100,9.9227,9.3334,9.4881,9.6912,,,,,,,,,,,,13.1300,,,9.8253,9.9369,,,9.2464,9.3526,9.5582,9.3967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/22,,,,,,,,,,,,,,,10.5600,9.9673,9.3680,9.5233,9.7323,,,,,,,,,,,,13.2100,,,9.8658,9.9779,19.8100,,9.2836,9.3902,9.5938,9.4318,10.2200,,,,10.1500,,,,,,,,13.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7300,,,,,,,,,9.2000,,,,,10.6000,,,,,
2015/12/23,,,,,,,,,,,,,,,10.6600,10.0172,9.4036,9.5594,9.7812,,,,,,,,,,,,13.3300,,,9.9045,10.0170,20.0700,,9.3174,9.4244,9.6307,9.4679,10.3300,,,,10.2600,,,,,,,,13.9400,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0100,,,,,,,,,9.3500,,,,,10.7000,,,,,
2015/12/24,,,,,,,,,,,,,,,10.6700,10.0483,9.4104,9.5665,9.8116,,,,,,,,,,,,13.3000,,,9.8900,10.0023,20.0100,,9.3271,9.4343,9.6444,9.4813,10.3500,,,,10.2800,,,,,,,,13.9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9800,,,,,,,,,9.3600,,,,,10.6900,,,,,
2015/12/25,,,,,,,,,,,,,,,10.6700,,,,,,,,,,,,,,,,13.3000,,,,,20.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9700,,,,,,,,,9.3700,,,,,,,,,,
2015/12/28,,,,,,,,,,,,3.8100,,,10.6900,10.0349,9.4099,9.5659,9.7983,,,,,,,,,,,,13.3200,,,9.8895,10.0018,19.9600,,9.3225,9.4296,9.6489,9.4857,10.3900,,,,10.3100,,,,,,,,13.9500,,,,,8.7200,,,,,,,,,,,,,,,,,,,,,,,16.9400,,,,,,,,,9.3500,,,,,10.7100,,,,,
2015/12/29,,,,,,,,,,,,3.7900,,,10.8300,10.0890,9.4407,9.5973,9.8511,,,,,,,,,,,,13.4800,,,9.9266,10.0393,20.2000,,9.3533,9.4608,9.6860,9.5220,10.5000,,,,10.4300,,,,,,,,14.0800,,,,,8.8100,,,,,,,,,,,,,,,,,,,,,,,17.1000,,,,,,,,,9.4700,,,,,10.8100,,,,,
2015/12/30,,,,,,,,,,,,3.6800,,5.7600,10.7700,10.0813,9.4220,9.5783,9.8431,,,,,,,,,,,,13.4100,,,9.9109,10.0235,20.0600,,9.3351,9.4424,9.6768,9.5130,10.4600,,,,10.3900,,,11.0487,,,,8.4953,14.0400,,,13.3800,,8.7400,,,,,,,12.8038,,,,,,,,,,,,,,,,16.9900,,,,,,,,,9.4200,,,,,10.7800,,,,9.2255,
2015/12/31,13.8800,7.0800,33.9400,27.3800,,25.1100,16.0300,9.9300,23.6600,16.6500,15.4300,,17.8600,5.8100,10.6800,10.0739,9.3999,9.5558,9.8356,,,,,,,,,,,,13.3000,,,9.8881,10.0004,19.9200,,9.3100,9.4169,9.6530,9.4896,10.4000,,,,10.3200,,,11.0481,,,,8.4948,13.9600,,,13.3500,,,,,,,,,12.8084,,,,,,,,,,,,,,,,16.9000,,,,,,,,,9.3600,,,,,10.7200,,,,9.2269,
2016/01/04,13.7000,6.9900,33.4200,27.0200,,24.7400,15.7300,9.7800,23.3000,16.4800,15.3100,3.5400,17.4400,5.7000,10.4800,10.0103,9.3496,9.5046,9.7735,,,,,,,,,,,,13.0700,,,9.8720,9.9841,19.5100,31.7900,9.2550,9.3613,9.5973,9.4348,10.3300,,,,10.2600,,,11.0834,,,,8.5220,13.8300,,,13.2600,,8.5200,,,,,,,12.8543,,9.9080,,,,,,,,,,,9.9080,,,16.7000,,,,,,8.4155,,,9.2100,,,,,10.6200,,9.4945,8.9050,9.2389,
